ID,How likely are you to vote in the 2024 Presidential Election?,How enthusiastic are you to vote in the 2024 Presidential Election?,How often do you vote?," If the 2024 presidential election were held today, who would you vote for if the candidates were:",Party ID (With Leaners),Are you closer to being a:,"Who did you vote for in the 2020 presidential election, or did you not vote?",Which issue would you say is most important to your vote?,"Regardless of who you're supporting, which candidate would better handle the economy and jobs?","Regardless of who you're supporting, which candidate would better handle immigration and border security?","Regardless of who you're supporting, which candidate would better handle abortion rights and restrictions?",Do you support the construction of a border wall along the southern border?,Do you support the mass deportation of undocumented immigrants currently living in the United States?,Age,Gender,Race,Race/Education,Education Level,US Region,US Zip Code,LV Score
1004,Already Voted,Not very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Donald Trump,Kamala Harris,No,Yes,45-64,Female,White,White No College,No College,South,33527,23
17,Already Voted,Very,Never,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Crime and public safety,Donald Trump,Donald Trump,Donald Trump,Yes,Unsure,45-64,Female,White,White College,College,Northeast,06037,22
411,Already Voted,Not very,Sometimes,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Unsure,Kamala Harris,Unsure,No,65+,Female,White,White No College,No College,South,77450,22
458,Already Voted,Not very,Sometimes,"Donald Trump, the Republican",Republican,Republican,I did not vote,The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,45-64,Male,White,White No College,No College,Northeast,10598,22
803,Already Voted,Not at all,Sometimes,"Kamala Harris, the Democrat",Democrat,,I did not vote,Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,65+,Male,White,White No College,No College,Midwest,48146,21
12,Certain,Very,Always,"Donald Trump, the Republican",Independent,Neither,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Unsure,Yes,30-44,Female,White,White College,College,South,33579,13
15,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,45-64,Female,White,White College,College,Northeast,11735,13
20,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White College,College,South,77802,13
29,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,White,White No College,No College,South,78154,13
31,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Donald Trump,Kamala Harris,Yes,Unsure,30-44,Female,White,White College,College,Northeast,18018,13
32,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Male,Hispanic,Non White College,College,West,90745,13
37,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,White,White College,College,Midwest,60076,13
43,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,Hispanic,Non White College,College,Northeast,11102,13
48,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White No College,No College,Midwest,44420,13
50,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,45-64,Male,White,White College,College,Northeast,17011,13
51,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,Unsure,65+,Female,White,White No College,No College,West,95128,13
53,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Donald Trump,Kamala Harris,No,Yes,45-64,Male,White,White No College,No College,Northeast,15930,13
59,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,45-64,Male,Black or African American,Non White No College,No College,Northeast,14305,13
68,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Donald Trump,Kamala Harris,Unsure,No,45-64,Female,Hispanic,Non White College,College,West,91362,13
72,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White College,College,Northeast,10463,13
101,Certain,Very,Always,"Kamala Harris, the Democrat",Republican,,"Joe Biden, the Democrat",Immigration and border security,Unsure,Unsure,Kamala Harris,Yes,Unsure,45-64,Male,White,White No College,No College,South,72032,13
103,Certain,Very,Always,"Donald Trump, the Republican",Independent,Neither,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,Northeast,08515,13
108,Certain,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,White,White No College,No College,West,92544,13
111,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Unsure,65+,Female,Hispanic,Non White No College,No College,Midwest,64086,13
112,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,No,Yes,30-44,Female,Hispanic,Non White No College,No College,West,91945,13
118,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White College,College,Midwest,53511,13
121,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,45-64,Female,Other,Non White College,College,West,94122,13
128,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Abortion rights and restrictions,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Female,White,White College,College,West,92691,13
133,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Male,White,White No College,No College,South,28025,13
134,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,White,White No College,No College,South,23185,13
135,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,West,97220,13
137,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,White,White College,College,Midwest,60107,13
148,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Crime and public safety,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White No College,No College,Midwest,58734,13
149,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,Other,Non White No College,No College,Midwest,60014,13
159,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,45-64,Male,White,White No College,No College,South,33309,13
165,Certain,Very,Always,Undecided,Democrat,,"Joe Biden, the Democrat",Other,Donald Trump,Donald Trump,Donald Trump,Unsure,Yes,45-64,Female,Other,Non White College,College,Midwest,48336,13
168,Certain,Very,Always,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,30-44,Male,Hispanic,Non White College,College,South,34759,13
171,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,30-44,Male,White,White College,College,Northeast,17319,13
173,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,Black or African American,Non White College,College,Midwest,45424,13
174,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Donald Trump,Kamala Harris,Yes,No,45-64,Female,White,White No College,No College,Midwest,49506,13
176,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Immigration and border security,Kamala Harris,Donald Trump,Kamala Harris,Yes,Yes,65+,Female,White,White No College,No College,Northeast,01930,13
178,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White College,College,Midwest,61520,13
186,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,Hispanic,Non White No College,No College,West,89108,13
188,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Yes,45-64,Female,Other,Non White College,College,West,94549,13
191,Certain,Very,Always,"Kamala Harris, the Democrat",Independent,Neither,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Unsure,Unsure,45-64,Female,White,White College,College,Midwest,54155,13
197,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White No College,No College,Northeast,08817,13
199,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,45-64,Male,White,White No College,No College,Midwest,63664,13
200,Certain,Very,Always,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Threats to democracy and corruption,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,45-64,Male,White,White College,College,Midwest,44708,13
205,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Crime and public safety,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,65+,Female,White,White No College,No College,Northeast,06057,13
206,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White College,College,Midwest,43201,13
212,Certain,Very,Always,"Donald Trump, the Republican",Democrat,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White College,College,South,33903,13
214,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,Black or African American,Non White No College,No College,South,36360,13
225,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White No College,No College,West,95682,13
227,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,45-64,Male,White,White No College,No College,South,33609,13
237,Certain,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,White,White No College,No College,South,27410,13
240,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Female,White,White No College,No College,Northeast,14305,13
242,Certain,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,45-64,Male,White,White No College,No College,Northeast,01890,13
259,Certain,Very,Always,"Donald Trump, the Republican",Democrat,,"Joe Biden, the Democrat",Other,Donald Trump,Kamala Harris,Kamala Harris,Unsure,Yes,65+,Male,White,White No College,No College,Midwest,61550,13
260,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,Other,Non White College,College,Midwest,46176,13
263,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White College,College,West,98059,13
264,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,30-44,Female,White,White College,College,West,95240,13
266,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Crime and public safety,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,30-44,Male,Black or African American,Non White No College,No College,Midwest,60608,13
273,Certain,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,South,28451,13
281,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Female,White,White No College,No College,South,30319,13
283,Certain,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Threats to democracy and corruption,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Female,White,White No College,No College,South,31082,13
284,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Unsure,Kamala Harris,Yes,No,45-64,Female,White,White No College,No College,Northeast,11743,13
